Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,lat,lon
Belgium,2023-03-09,4727795,0,33775.0,0.0,4664005.0,792,30015.0,43,36752058.0,11668278,Europe,2,50.6402809,4.6667145
Belgium,2023-03-10,4739365,0,33814.0,0.0,4666382.0,1585,39169.0,43,36797565.0,11668278,Europe,2,50.6402809,4.6667145
Benin,2023-03-02,27990,0,163.0,0.0,27825.0,0,2.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Benin,2023-03-03,27990,0,163.0,0.0,27825.0,0,2.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Benin,2023-03-04,27990,0,163.0,0.0,27825.0,0,2.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Benin,2023-03-05,27990,0,163.0,0.0,27825.0,0,2.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Benin,2023-03-06,27990,0,163.0,0.0,27825.0,0,2.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Benin,2023-03-07,27990,0,163.0,0.0,27825.0,0,2.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Benin,2023-03-08,27999,9,163.0,0.0,27830.0,5,6.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Benin,2023-03-09,27999,0,163.0,0.0,27830.0,0,6.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Benin,2023-03-10,27999,0,163.0,0.0,27830.0,0,6.0,0,604310.0,12784726,Africa,457,9.5293472,2.2584408
Bolivia,2023-03-02,1193418,162,22365.0,0.0,1158257.0,185,12796.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bolivia,2023-03-03,1193650,232,22365.0,0.0,1158540.0,283,12745.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bolivia,2023-03-04,1193815,165,22365.0,0.0,1158821.0,281,12629.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bolivia,2023-03-05,1193908,93,22365.0,0.0,1159036.0,215,12507.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bolivia,2023-03-06,1193908,93,22365.0,0.0,1159036.0,215,12507.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bolivia,2023-03-07,1193970,62,22365.0,0.0,1159308.0,272,12297.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bolivia,2023-03-08,1194069,99,22365.0,0.0,1159564.0,256,12140.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bolivia,2023-03-09,1194187,118,22365.0,0.0,1160189.0,625,11633.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bolivia,2023-03-10,1194387,110,22366.0,1.0,1160755.0,280,11266.0,220,2705422.0,11992656,South America,10,-17.0568696,-64.9912286
Bosnia and Herzegovina,2023-03-02,401636,0,16279.0,0.0,379084.0,0,6273.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Bosnia and Herzegovina,2023-03-03,401636,0,16279.0,0.0,379084.0,0,6273.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Bosnia and Herzegovina,2023-03-04,401636,0,16279.0,0.0,379084.0,0,6273.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Bosnia and Herzegovina,2023-03-05,401636,0,16279.0,0.0,379084.0,0,6273.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Bosnia and Herzegovina,2023-03-06,401636,0,16279.0,0.0,379084.0,0,6273.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Bosnia and Herzegovina,2023-03-07,401636,0,16279.0,0.0,379084.0,0,6273.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Bosnia and Herzegovina,2023-03-08,401636,0,16279.0,0.0,379084.0,0,6273.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Bosnia and Herzegovina,2023-03-09,401729,93,16280.0,1.0,379084.0,0,6365.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Bosnia and Herzegovina,2023-03-10,401729,0,16280.0,0.0,379084.0,0,6365.0,0,1884721.0,3249317,Europe,8,44.3053476,17.5961467
Botswana,2023-03-02,329727,0,2801.0,0.0,326868.0,0,58.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Botswana,2023-03-03,329727,0,2801.0,0.0,326868.0,0,58.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Botswana,2023-03-04,329727,0,2801.0,0.0,326868.0,0,58.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Botswana,2023-03-05,329727,0,2801.0,0.0,326868.0,0,58.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Botswana,2023-03-06,329727,0,2801.0,0.0,326868.0,0,58.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Botswana,2023-03-07,329727,0,2801.0,0.0,326868.0,0,58.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Botswana,2023-03-08,329758,31,2801.0,0.0,326916.0,48,41.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Botswana,2023-03-09,329758,0,2801.0,0.0,326916.0,0,41.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Botswana,2023-03-10,329758,0,2801.0,0.0,326916.0,0,41.0,1,2026898.0,2441162,Africa,7,-23.1681782,24.5928742
Brazil,2023-03-02,37066791,3327,699230.0,33.0,36241001.0,0,126560.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
Brazil,2023-03-03,37076053,9262,699276.0,46.0,36249161.0,8160,127616.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
Brazil,2023-03-04,37076053,0,699276.0,0.0,36249161.0,0,127616.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
Brazil,2023-03-05,37076053,0,699276.0,0.0,36249161.0,0,127616.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
Brazil,2023-03-06,37076053,0,699276.0,0.0,36249161.0,0,127616.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
Brazil,2023-03-07,37076053,0,699276.0,0.0,36249161.0,0,127616.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
Brazil,2023-03-08,37076053,0,699276.0,0.0,36249161.0,0,127616.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
Brazil,2023-03-09,37085520,9467,699310.0,34.0,36249161.0,0,137049.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
Brazil,2023-03-10,37085520,0,699310.0,0.0,36249161.0,0,137049.0,0,63776166.0,215353593,South America,6,-10.3333333,-53.2
